LGA_CODE_2011,LGA_NAME_2011,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQKM,CENTX,CENTY
10050,ALBURY,1,NEW SOUTH WALES,305.931,146.957,-36.0149
10110,ARMIDALE DUMARESQ,1,NEW SOUTH WALES,4230.83,151.875,-30.5812
10150,ASHFIELD,1,NEW SOUTH WALES,8.28119,151.131,-33.8886
10200,AUBURN,1,NEW SOUTH WALES,32.4769,151.048,-33.8543
10250,BALLINA,1,NEW SOUTH WALES,484.716,153.486,-28.8527
10300,BALRANALD,1,NEW SOUTH WALES,21693.12,143.571,-34.0441
10350,BANKSTOWN,1,NEW SOUTH WALES,76.8001,151.021,-33.9238
10470,BATHURST REGIONAL,1,NEW SOUTH WALES,3816.43,149.52,-33.4731
10550,BEGA VALLEY,1,NEW SOUTH WALES,6278.96,149.721,-36.8165
10600,BELLINGEN,1,NEW SOUTH WALES,1600.38,152.725,-30.3739
10650,BERRIGAN,1,NEW SOUTH WALES,2065.93,145.67,-35.7519
10750,BLACKTOWN,1,NEW SOUTH WALES,240.105,150.863,-33.7402
10800,BLAND,1,NEW SOUTH WALES,8557.71,146.927,-33.919
10850,BLAYNEY,1,NEW SOUTH WALES,1524.88,149.13,-33.6165
10900,BLUE MOUNTAINS,1,NEW SOUTH WALES,1431.15,150.413,-33.632
10950,BOGAN,1,NEW SOUTH WALES,14600.48,146.906,-31.5701
11000,BOMBALA,1,NEW SOUTH WALES,3946.57,148.953,-36.911
11050,BOOROWA,1,NEW SOUTH WALES,2577.97,148.842,-34.2879
11100,BOTANY BAY,1,NEW SOUTH WALES,21.6868,151.199,-33.9466
11150,BOURKE,1,NEW SOUTH WALES,41604.45,145.362,-29.9958
11200,BREWARRINA,1,NEW SOUTH WALES,19165.18,147.148,-29.9505
11250,BROKEN HILL,1,NEW SOUTH WALES,170.294,141.478,-31.9515
11300,BURWOOD,1,NEW SOUTH WALES,7.12817,151.105,-33.8854
11350,BYRON,1,NEW SOUTH WALES,565.847,153.484,-28.6133
11400,CABONNE,1,NEW SOUTH WALES,6023.93,148.827,-33.1108
