SA2_MAIN11,SA2_5DIG11,SA2_NAME11,SA3_CODE11,SA3_NAME11,SA4_CODE11,SA4_NAME11,GCC_CODE11,GCC_NAME11,STE_CODE11,STE_NAME11,GEOM_CENTROID
101011001,11001,Goulburn,10101,Goulburn - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.719543517035 -34.7505386898949
101011002,11002,Goulburn Region,10101,Goulburn - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.604635110489 -34.516480374868
101011003,11003,Yass,10101,Goulburn - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,148.915958163057 -34.8228647246685
101011004,11004,Yass Region,10101,Goulburn - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,148.893149004484 -34.8767200940613
101011005,11005,Young,10101,Goulburn - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,148.353066674568 -34.3211381047406
101011006,11006,Young Region,10101,Goulburn - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,148.495595465515 -34.3097974074218
101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.793193970922 -35.4550964183024
101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.23279622092 -35.3759539008917
101021009,11009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.225452181152 -35.3510408062893
101021010,11010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.252406805718 -35.3551727194574
101021011,11011,Queanbeyan Region,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.391124762744 -35.4440366643579
101021012,11012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.202843729248 -35.377583632908
101031013,11013,Bombala,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.045471982993 -36.8779258407525
101031014,11014,Cooma,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.11940467596 -36.2502235180667
101031015,11015,Cooma Region,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.082360977818 -36.1272351677435
101031016,11016,Jindabyne - Berridale,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,148.608921246897 -36.4916754306288
101041017,11017,Batemans Bay,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,150.181749139476 -35.7011149921606
101041018,11018,Batemans Bay - South,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,150.210630902555 -35.7840042283885
101041019,11019,Bega - Tathra,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.902119865073 -36.724826016867
101041020,11020,Bega-Eden Hinterland,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.719083692459 -36.9288560922871
101041021,11021,Broulee - Tomakin,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,150.161712945952 -35.8459819308554
101041022,11022,Deua - Wadbilliga,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.746419320819 -36.1774452795135
101041023,11023,Eden,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.890982311419 -37.0313425369364
101041024,11024,Eurobodalla Hinterland,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,150.072246013934 -35.7746148635842
101041025,11025,Merimbula - Tura Beach,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,149.882117653625 -36.9001674268741
101041026,11026,Moruya - Tuross Head,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,150.107209433538 -35.9471499401362
101041027,11027,Narooma - Bermagui,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,150.073714480953 -36.3130821019569
102011028,11028,Avoca Beach - Copacabana,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.430177299488 -33.4754196922952
102011029,11029,Box Head - MacMasters Beach,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.384750879092 -33.508534789431
102011030,11030,Calga - Kulnura,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.175306426235 -33.3396826322771
102011031,11031,Erina - Green Point,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.402501348625 -33.4232479898307
102011032,11032,Gosford - Springfield,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.347906744877 -33.425251028271
102011033,11033,Kariong,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.294527634937 -33.4397208692869
102011034,11034,Kincumber - Picketts Valley,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.403119176328 -33.4698069163047
102011035,11035,Narara,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.334214586627 -33.3960963315156
102011036,11036,Niagara Park - Lisarow,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.372830329259 -33.3842858662414
102011037,11037,Point Clare - Koolewong,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.316329341836 -33.4482224878185
102011038,11038,Saratoga - Davistown,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.35756010388 -33.4774984969072
102011039,11039,Terrigal - North Avoca,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.428071584234 -33.4450377186419
102011040,11040,Umina - Booker Bay - Patonga,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.298091284135 -33.5290488517462
102011041,11041,Wamberal - Forresters Beach,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.449949957811 -33.4097065155918
102011042,11042,Woy Woy - Blackwall,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.30568166974 -33.4851797210624
102011043,11043,Wyoming,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.364044348421 -33.4047278521904
102021044,11044,Bateau Bay - Killarney Vale,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.467452699484 -33.3796037147991
102021045,11045,Blue Haven - San Remo,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.524174907302 -33.2040609817794
102021046,11046,Budgewoi - Buff Point - Halekulani,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.56087145106 -33.2266557710957
102021047,11047,Chittaway Bay - Tumbi Umbi,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.428285976438 -33.3543983479401
102021048,11048,Gorokan - Kanwal - Charmhaven,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.494749648383 -33.2579421398973
102021049,11049,Jilliby - Yarramalong,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.324165308467 -33.1729852352675
102021050,11050,Lake Munmorah - Mannering Park,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.575949072948 -33.1804615887727
102021051,11051,Ourimbah - Fountaindale,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.335132669179 -33.316517811878
102021052,11052,Summerland Point - Gwandalan,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.576903985412 -33.1409752650909
102021053,11053,The Entrance,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.512020821292 -33.3291039050954
102021054,11054,Toukley - Norah Head,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.554586643297 -33.2730699975728
102021055,11055,Tuggerah - Kangy Angy,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.4121308143 -33.3048282082019
102021056,11056,Warnervale - Wadalba,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.458151013201 -33.2420313169511
102021057,11057,Wyong,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,151.435216367792 -33.2765724029642
103011058,11058,Bathurst,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.558930156908 -33.3991167006539
103011059,11059,Bathurst - East,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.629214131247 -33.4152277168171
103011060,11060,Bathurst Region,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.532945228296 -33.4404540531179
103011061,11061,Oberon,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.775691609278 -33.8880252046374
103021062,11062,Condobolin,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,147.033838218357 -32.9081192418354
103021063,11063,Cowra,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,148.661022734977 -33.7910499637203
103021064,11064,Cowra Region,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,148.682964639458 -33.7402425349027
103021065,11065,Forbes,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,147.924875607279 -33.46158204112
103021066,11066,Grenfell,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,148.025871389456 -33.879225320101
103021067,11067,Parkes (NSW),10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,148.189844283084 -33.1729283326109
103021068,11068,Parkes Region,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,148.001503465903 -32.9537181053404
103021069,11069,West Wyalong,10302,Lachlan Valley,103,Central West,1RNSW,Rest of NSW,1,New South Wales,146.984302756235 -33.9001669635375
103031070,11070,Lithgow,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,150.124773245707 -33.4786459499468
103031071,11071,Lithgow Region,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,150.051434233544 -33.3074251269441
103031072,11072,Mudgee,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.601110018167 -32.6039760387481
103031073,11073,Mudgee Region - East,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,150.028221127011 -32.7483654994648
103031074,11074,Mudgee Region - West,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.543439860808 -32.4057830003378
103031075,11075,Wollangambe - Wollemi,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,150.385429778447 -33.1605179518475
103041076,11076,Blayney,10304,Orange,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.143868997475 -33.6078232971171
103041077,11077,Orange,10304,Orange,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.112603591014 -33.3013300736506
103041078,11078,Orange - North,10304,Orange,103,Central West,1RNSW,Rest of NSW,1,New South Wales,149.125969321229 -33.2494286560054
103041079,11079,Orange Region,10304,Orange,103,Central West,1RNSW,Rest of NSW,1,New South Wales,148.847604281765 -33.1465312051078
104011080,11080,Grafton,10401,Clarence Valley,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,152.935487395077 -29.6772524256549
104011081,11081,Grafton Region,10401,Clarence Valley,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,152.737939400871 -29.6348796086766
104011082,11082,Maclean - Yamba - Iluka,10401,Clarence Valley,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,153.266252894712 -29.4205624996857
104021083,11083,Bellingen,10402,Coffs Harbour,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,152.719859065349 -30.4479515923374
