SA2_5DIG11,GEOM_CENTROID
11001,149.719543517035 -34.7505386898949
11002,149.604635110489 -34.516480374868
11003,148.915958163057 -34.8228647246685
11004,148.893149004484 -34.8767200940613
11005,148.353066674568 -34.3211381047406
11006,148.495595465515 -34.3097974074218
11007,149.793193970922 -35.4550964183024
11008,149.23279622092 -35.3759539008917
11009,149.225452181152 -35.3510408062893
11010,149.252406805718 -35.3551727194574
11011,149.391124762744 -35.4440366643579
11012,149.202843729248 -35.377583632908
11013,149.045471982993 -36.8779258407525
11014,149.11940467596 -36.2502235180667
11015,149.082360977818 -36.1272351677435
11016,148.608921246897 -36.4916754306288
11017,150.181749139476 -35.7011149921606
11018,150.210630902555 -35.7840042283885
11019,149.902119865073 -36.724826016867
11020,149.719083692459 -36.9288560922871
11021,150.161712945952 -35.8459819308554
11022,149.746419320819 -36.1774452795135
11023,149.890982311419 -37.0313425369364
11024,150.072246013934 -35.7746148635842
11025,149.882117653625 -36.9001674268741
11026,150.107209433538 -35.9471499401362
11027,150.073714480953 -36.3130821019569
11028,151.430177299488 -33.4754196922952
11029,151.384750879092 -33.508534789431
11030,151.175306426235 -33.3396826322771
11031,151.402501348625 -33.4232479898307
11032,151.347906744877 -33.425251028271
11033,151.294527634937 -33.4397208692869
11034,151.403119176328 -33.4698069163047
11035,151.334214586627 -33.3960963315156
11036,151.372830329259 -33.3842858662414
11037,151.316329341836 -33.4482224878185
11038,151.35756010388 -33.4774984969072
11039,151.428071584234 -33.4450377186419
11040,151.298091284135 -33.5290488517462
11041,151.449949957811 -33.4097065155918
11042,151.30568166974 -33.4851797210624
11043,151.364044348421 -33.4047278521904
11044,151.467452699484 -33.3796037147991
11045,151.524174907302 -33.2040609817794
11046,151.56087145106 -33.2266557710957
11047,151.428285976438 -33.3543983479401
11048,151.494749648383 -33.2579421398973
11049,151.324165308467 -33.1729852352675
11050,151.575949072948 -33.1804615887727
11051,151.335132669179 -33.316517811878
11052,151.576903985412 -33.1409752650909
11053,151.512020821292 -33.3291039050954
11054,151.554586643297 -33.2730699975728
11055,151.4121308143 -33.3048282082019
11056,151.458151013201 -33.2420313169511
11057,151.435216367792 -33.2765724029642
11058,149.558930156908 -33.3991167006539
11059,149.629214131247 -33.4152277168171
11060,149.532945228296 -33.4404540531179
11061,149.775691609278 -33.8880252046374
11062,147.033838218357 -32.9081192418354
11063,148.661022734977 -33.7910499637203
11064,148.682964639458 -33.7402425349027
11065,147.924875607279 -33.46158204112
11066,148.025871389456 -33.879225320101
11067,148.189844283084 -33.1729283326109
11068,148.001503465903 -32.9537181053404
11069,146.984302756235 -33.9001669635375
11070,150.124773245707 -33.4786459499468
11071,150.051434233544 -33.3074251269441
11072,149.601110018167 -32.6039760387481
11073,150.028221127011 -32.7483654994648
11074,149.543439860808 -32.4057830003378
11075,150.385429778447 -33.1605179518475
11076,149.143868997475 -33.6078232971171
11077,149.112603591014 -33.3013300736506
11078,149.125969321229 -33.2494286560054
11079,148.847604281765 -33.1465312051078
11080,152.935487395077 -29.6772524256549
11081,152.737939400871 -29.6348796086766
11082,153.266252894712 -29.4205624996857
11083,152.719859065349 -30.4479515923374
11084,153.10418815971 -30.2821398880869
11085,153.095807568577 -30.3151530452862
11086,153.032871373847 -30.2084107052766
11087,152.620502710439 -30.2136134495846
11088,153.140785199297 -30.2061130280837
11089,153.037083368886 -30.3761339479222
11090,152.999094916529 -30.4897755943803
11091,153.166866325691 -30.0277476431537
11092,145.746425714069 -29.9123825751374
11093,145.484780222804 -31.8760245690881
11094,148.224027463452 -30.9796646910061
11095,147.080674931403 -31.4504877970296
11096,148.066176045857 -29.7646865765295
11097,141.479168538323 -31.9441842906513
11098,142.718902920378 -31.0940252830154
11099,149.407370596905 -31.3551211826008
11100,148.67083425592 -32.2473463995931
11101,148.628545829036 -32.2671435736544
11102,148.580866508051 -32.2329040909664
11103,148.703637293615 -32.2614805378204
11104,148.642596029804 -31.6185026591582
11105,148.053238369428 -32.181146456313
11106,148.963824296125 -32.6516090682461
11107,151.325508255577 -32.7098791275673
11108,151.362076373446 -32.8319630701201
11109,151.189054897966 -32.9627163404786
11110,151.608282042101 -32.3494827948184
11111,151.461121053794 -32.8006776073237
11112,151.177289960844 -32.5752390659055
11113,151.010091179772 -32.6294370348774
11114,151.538809156355 -32.7600835927348
11115,151.600467358506 -32.7543217884042
11116,151.57903517922 -32.6770590018645
11117,151.483608623264 -32.6846880090287
11118,151.670710125904 -32.7631192815126
