Read End Fiscal Quarter Code,LGA,Premise Type Attribute,Dwelling Count,Dwelling Count,Apportioned Consumption kl
2015Q1,ASHFIELD,multi dwelling,9822,9837,443939.1
2015Q1,ASHFIELD,single dwelling,7013,7028,431825.9
2015Q1,ASHFIELD,nonresidential,901,916,192223.9
2015Q1,AUBURN,multi dwelling,11755,11770,725943.9
2015Q1,AUBURN,single dwelling,12166,12181,787245.8
2015Q1,AUBURN,nonresidential,2595,2610,1215242.6
2015Q1,BANKSTOWN,multi dwelling,17246,17261,868400.5
2015Q1,BANKSTOWN,single dwelling,44716,44731,2768415.1
2015Q1,BANKSTOWN,nonresidential,6309,6324,1359651.7
2015Q1,BLACKTOWN,multi dwelling,13698,13713,662571.8
2015Q1,BLACKTOWN,single dwelling,83055,83070,4908868.8
2015Q1,BLACKTOWN,nonresidential,6030,6045,1797459.4
2015Q1,BLUE MOUNTAINS,multi dwelling,2373,2388,70027.1
2015Q1,BLUE MOUNTAINS,single dwelling,30247,30262,1397947.1
2015Q1,BLUE MOUNTAINS,nonresidential,1562,1577,268563.9
2015Q1,BOTANY BAY,multi dwelling,8229,8244,400735.5
2015Q1,BOTANY BAY,single dwelling,6954,6969,429628.1
2015Q1,BOTANY BAY,nonresidential,1708,1723,1709173.4
2015Q1,BURWOOD,multi dwelling,5205,5220,310413.4
2015Q1,BURWOOD,single dwelling,6387,6402,427926.4
2015Q1,BURWOOD,nonresidential,897,912,247912.5
2015Q1,CAMDEN,multi dwelling,968,983,50265.6
2015Q1,CAMDEN,single dwelling,16157,16172,1129986
2015Q1,CAMDEN,nonresidential,1714,1729,473947.1
2015Q1,CAMPBELLTOWN,multi dwelling,7293,7308,271112.6
2015Q1,CAMPBELLTOWN,single dwelling,43135,43150,2639854.8
2015Q1,CAMPBELLTOWN,nonresidential,3534,3549,846802
2015Q1,CANADA BAY,multi dwelling,15440,15455,658557.9
2015Q1,CANADA BAY,single dwelling,15313,15328,921705.4
2015Q1,CANADA BAY,nonresidential,1562,1577,395362
2015Q1,CANTERBURY,multi dwelling,23350,23365,1246928.1
2015Q1,CANTERBURY,single dwelling,27041,27056,1740550.9
2015Q1,CANTERBURY,nonresidential,3017,3032,477697
2015Q1,FAIRFIELD,multi dwelling,13849,13864,749008.7
2015Q1,FAIRFIELD,single dwelling,45309,45324,3027844.6
2015Q1,FAIRFIELD,nonresidential,4825,4840,1313122.8
2015Q1,HAWKESBURY,multi dwelling,3202,3217,149107.2
2015Q1,HAWKESBURY,single dwelling,12868,12883,875323.9
2015Q1,HAWKESBURY,nonresidential,1719,1734,396601.7
2015Q1,HOLROYD,multi dwelling,12713,12728,632272.3
2015Q1,HOLROYD,single dwelling,22778,22793,1358644.1
2015Q1,HOLROYD,nonresidential,2736,2751,1373823
2015Q1,HORNSBY,multi dwelling,13655,13670,585575.1
2015Q1,HORNSBY,single dwelling,40615,40630,2488803.9
2015Q1,HORNSBY,nonresidential,3645,3660,791664.5
2015Q1,HUNTERS HILL,multi dwelling,1840,1855,70766.3
2015Q1,HUNTERS HILL,single dwelling,3134,3149,265681.9
2015Q1,HUNTERS HILL,nonresidential,280,295,95682.4
2015Q1,HURSTVILLE,multi dwelling,11629,11644,555047.9
2015Q1,HURSTVILLE,single dwelling,17878,17893,1073680.3
2015Q1,HURSTVILLE,nonresidential,2459,2474,307455.5
2015Q1,KIAMA,multi dwelling,1408,1423,39065.4
2015Q1,KIAMA,single dwelling,6774,6789,296866.9
2015Q1,KIAMA,nonresidential,662,677,130477.6
2015Q1,KOGARAH,multi dwelling,9025,9040,448047.6
2015Q1,KOGARAH,single dwelling,12059,12074,798468
2015Q1,KOGARAH,nonresidential,1238,1253,291608.9
2015Q1,KU-RING-GAI,multi dwelling,7507,7522,299846.8
2015Q1,KU-RING-GAI,single dwelling,30743,30758,2373244.5
2015Q1,KU-RING-GAI,nonresidential,1491,1506,374777.7
2015Q1,LANE COVE,multi dwelling,6462,6477,236530.8
2015Q1,LANE COVE,single dwelling,6584,6599,431483.8
2015Q1,LANE COVE,nonresidential,1108,1123,196940.7
2015Q1,LEICHHARDT,multi dwelling,8596,8611,305808.8
2015Q1,LEICHHARDT,single dwelling,13900,13915,626696.4
2015Q1,LEICHHARDT,nonresidential,1942,1957,323406.6
2015Q1,LIVERPOOL,multi dwelling,13601,13616,717148.3
2015Q1,LIVERPOOL,single dwelling,42759,42774,2853253.7
2015Q1,LIVERPOOL,nonresidential,4204,4219,1563534.5
2015Q1,MANLY,multi dwelling,11092,11107,420978.8
2015Q1,MANLY,single dwelling,7151,7166,452536.7
2015Q1,MANLY,nonresidential,1152,1167,210145.1
2015Q1,MARRICKVILLE,multi dwelling,13976,13991,531731.2
2015Q1,MARRICKVILLE,single dwelling,17500,17515,886674.8
2015Q1,MARRICKVILLE,nonresidential,3174,3189,559473.2
2015Q1,MOSMAN,multi dwelling,7477,7492,271581.2
2015Q1,MOSMAN,single dwelling,5374,5389,440654.5
2015Q1,MOSMAN,nonresidential,680,695,172423.9
2015Q1,NORTH SYDNEY,multi dwelling,28776,28791,1055589.7
2015Q1,NORTH SYDNEY,single dwelling,5862,5877,336072
2015Q1,NORTH SYDNEY,nonresidential,3170,3185,629174.7
2015Q1,PARRAMATTA,multi dwelling,28608,28623,1385876.8
2015Q1,PARRAMATTA,single dwelling,33112,33127,1991236.5
2015Q1,PARRAMATTA,nonresidential,4922,4937,2172459.3
2015Q1,PENRITH,multi dwelling,11818,11833,466724.5
2015Q1,PENRITH,single dwelling,50521,50536,3270140.5
2015Q1,PENRITH,nonresidential,4125,4140,1093373.6
2015Q1,PITTWATER,multi dwelling,5306,5321,195864.9
2015Q1,PITTWATER,single dwelling,16753,16768,1052337
2015Q1,PITTWATER,nonresidential,1898,1913,245944.6
2015Q1,RANDWICK,multi dwelling,34010,34025,1404979.4
2015Q1,RANDWICK,single dwelling,19804,19819,1268214.2
2015Q1,RANDWICK,nonresidential,2149,2164,847600.6
2015Q1,ROCKDALE,multi dwelling,19006,19021,911507.3
2015Q1,ROCKDALE,single dwelling,19147,19162,1243491.7
2015Q1,ROCKDALE,nonresidential,2237,2252,380420.7
2015Q1,RYDE,multi dwelling,18469,18484,751173.5
2015Q1,RYDE,single dwelling,22116,22131,1343799.6
2015Q1,RYDE,nonresidential,2090,2105,925437.7
2015Q1,SHELLHARBOUR,multi dwelling,3961,3976,127171
2015Q1,SHELLHARBOUR,single dwelling,19321,19336,990957
2015Q1,SHELLHARBOUR,nonresidential,1281,1296,225041.3
2015Q1,STRATHFIELD,multi dwelling,6665,6680,404800
2015Q1,STRATHFIELD,single dwelling,6042,6057,467938.9
2015Q1,STRATHFIELD,nonresidential,1069,1084,319728.2
2015Q1,SUTHERLAND SHIRE,multi dwelling,28283,28298,1021149.8
2015Q1,SUTHERLAND SHIRE,single dwelling,52641,52656,3279321.1
2015Q1,SUTHERLAND SHIRE,nonresidential,5004,5019,1856460.1
2015Q1,SYDNEY,multi dwelling,74583,74598,3560260
2015Q1,SYDNEY,single dwelling,15026,15041,731762.9
2015Q1,SYDNEY,nonresidential,14379,14394,5583206.2
2015Q1,THE HILLS SHIRE,multi dwelling,7729,7744,339091.5
2015Q1,THE HILLS SHIRE,single dwelling,46601,46616,3188627.2
2015Q1,THE HILLS SHIRE,nonresidential,4153,4168,896007.2
2015Q1,WARRINGAH,multi dwelling,21093,21108,774715.7
2015Q1,WARRINGAH,single dwelling,32528,32543,2001050.7
2015Q1,WARRINGAH,nonresidential,4502,4517,561449.9
2015Q1,WAVERLEY,multi dwelling,20615,20630,838713.7
2015Q1,WAVERLEY,single dwelling,9282,9297,590957.4
2015Q1,WAVERLEY,nonresidential,1507,1522,389379.1
2015Q1,WILLOUGHBY,multi dwelling,13293,13308,643847.6
2015Q1,WILLOUGHBY,single dwelling,14497,14512,926598.2
2015Q1,WILLOUGHBY,nonresidential,2867,2882,750303.4
2015Q1,WINGECARRIBEE,multi dwelling,0,15,0
2015Q1,WINGECARRIBEE,single dwelling,10,25,550
2015Q1,WINGECARRIBEE,nonresidential,1,16,1048.3
2015Q1,WOLLONDILLY,multi dwelling,803,818,29162.1
2015Q1,WOLLONDILLY,single dwelling,10161,10176,662241.8
2015Q1,WOLLONDILLY,nonresidential,1051,1066,510209.7
2015Q1,WOLLONGONG,multi dwelling,22618,22633,740451.8
2015Q1,WOLLONGONG,single dwelling,54542,54557,2665282.4
2015Q1,WOLLONGONG,nonresidential,4877,4892,2738311.4
2015Q1,WOOLLAHRA,multi dwelling,15311,15326,642752
2015Q1,WOOLLAHRA,single dwelling,9476,9491,878554.6
2015Q1,WOOLLAHRA,nonresidential,1367,1382,241028.7
2015Q2,ASHFIELD,multi dwelling,9818,9833,439894.4
2015Q2,ASHFIELD,single dwelling,7019,7034,404158.7
2015Q2,ASHFIELD,nonresidential,899,914,183793.5
2015Q2,AUBURN,multi dwelling,11796,11811,710120.4
2015Q2,AUBURN,single dwelling,12210,12225,748773.3
2015Q2,AUBURN,nonresidential,2600,2615,1117732
2015Q2,BANKSTOWN,multi dwelling,17299,17314,847064.9
2015Q2,BANKSTOWN,single dwelling,44739,44754,2585717.2
2015Q2,BANKSTOWN,nonresidential,6244,6259,1252506.2
2015Q2,BLACKTOWN,multi dwelling,13813,13828,659256.4
2015Q2,BLACKTOWN,single dwelling,83397,83412,4555701.7
2015Q2,BLACKTOWN,nonresidential,6150,6165,1588390.1
2015Q2,BLUE MOUNTAINS,multi dwelling,2371,2386,68032.8
2015Q2,BLUE MOUNTAINS,single dwelling,30258,30273,1292960.9
2015Q2,BLUE MOUNTAINS,nonresidential,1558,1573,237943.2
2015Q2,BOTANY BAY,multi dwelling,8246,8261,405741.6
2015Q2,BOTANY BAY,single dwelling,6954,6969,405501.8
2015Q2,BOTANY BAY,nonresidential,1724,1739,1394504.1
2015Q2,BURWOOD,multi dwelling,5213,5228,305082.8
2015Q2,BURWOOD,single dwelling,6386,6401,403711
2015Q2,BURWOOD,nonresidential,896,911,221481.7
2015Q2,CAMDEN,multi dwelling,975,990,47830.2
2015Q2,CAMDEN,single dwelling,16322,16337,975631.8
2015Q2,CAMDEN,nonresidential,1680,1695,341502.7
2015Q2,CAMPBELLTOWN,multi dwelling,7293,7308,262373.1
2015Q2,CAMPBELLTOWN,single dwelling,43147,43162,2434201
2015Q2,CAMPBELLTOWN,nonresidential,3550,3565,731566
2015Q2,CANADA BAY,multi dwelling,15868,15883,650012
2015Q2,CANADA BAY,single dwelling,15313,15328,863097.4
2015Q2,CANADA BAY,nonresidential,1596,1611,318348.8
2015Q2,CANTERBURY,multi dwelling,23358,23373,1229746.1
2015Q2,CANTERBURY,single dwelling,27039,27054,1642856.6
2015Q2,CANTERBURY,nonresidential,3000,3015,460750.4
2015Q2,FAIRFIELD,multi dwelling,13888,13903,725490.7
2015Q2,FAIRFIELD,single dwelling,45371,45386,2839061.5
2015Q2,FAIRFIELD,nonresidential,4821,4836,1218262.1
2015Q2,HAWKESBURY,multi dwelling,3208,3223,139153.3
2015Q2,HAWKESBURY,single dwelling,12876,12891,745585.5
2015Q2,HAWKESBURY,nonresidential,1723,1738,351379.6
2015Q2,HOLROYD,multi dwelling,12733,12748,626917.5
2015Q2,HOLROYD,single dwelling,22869,22884,1268060.2
2015Q2,HOLROYD,nonresidential,2698,2713,1258016.1
2015Q2,HORNSBY,multi dwelling,13659,13674,569908.9
2015Q2,HORNSBY,single dwelling,40628,40643,2288181.5
2015Q2,HORNSBY,nonresidential,3644,3659,676373.5
2015Q2,HUNTERS HILL,multi dwelling,1840,1855,65223.4
2015Q2,HUNTERS HILL,single dwelling,3136,3151,231310.2
2015Q2,HUNTERS HILL,nonresidential,276,291,82095.2
2015Q2,HURSTVILLE,multi dwelling,11636,11651,557994.8
2015Q2,HURSTVILLE,single dwelling,17889,17904,1009267.6
2015Q2,HURSTVILLE,nonresidential,2448,2463,285093.6
2015Q2,KIAMA,multi dwelling,1386,1401,35610.3
2015Q2,KIAMA,single dwelling,6795,6810,273946.2
2015Q2,KIAMA,nonresidential,672,687,98291.6
2015Q2,KOGARAH,multi dwelling,9117,9132,450920.8
2015Q2,KOGARAH,single dwelling,12060,12075,727923.9
2015Q2,KOGARAH,nonresidential,1268,1283,248477.9
2015Q2,KU-RING-GAI,multi dwelling,7822,7837,291658.4
2015Q2,KU-RING-GAI,single dwelling,30746,30761,2041528.5
2015Q2,KU-RING-GAI,nonresidential,1461,1476,312055.7
2015Q2,LANE COVE,multi dwelling,6462,6477,240164.1
2015Q2,LANE COVE,single dwelling,6584,6599,394506.2
2015Q2,LANE COVE,nonresidential,1137,1152,199655.5
2015Q2,LEICHHARDT,multi dwelling,8596,8611,294124.6
2015Q2,LEICHHARDT,single dwelling,13912,13927,602918.8
2015Q2,LEICHHARDT,nonresidential,1918,1933,295321.4
2015Q2,LIVERPOOL,multi dwelling,13665,13680,677267.8
2015Q2,LIVERPOOL,single dwelling,42900,42915,2659022.3
2015Q2,LIVERPOOL,nonresidential,4265,4280,1265431.2
2015Q2,MANLY,multi dwelling,11093,11108,405291.7
2015Q2,MANLY,single dwelling,7154,7169,425032.3
2015Q2,MANLY,nonresidential,1147,1162,187421.3
2015Q2,MARRICKVILLE,multi dwelling,14016,14031,528246.4
2015Q2,MARRICKVILLE,single dwelling,17513,17528,853585.7
2015Q2,MARRICKVILLE,nonresidential,3166,3181,539917.4
2015Q2,MOSMAN,multi dwelling,7487,7502,265399.2
2015Q2,MOSMAN,single dwelling,5375,5390,426244.5
2015Q2,MOSMAN,nonresidential,675,690,140016.8
2015Q2,NORTH SYDNEY,multi dwelling,28813,28828,1036241.8
2015Q2,NORTH SYDNEY,single dwelling,5858,5873,316617.4
2015Q2,NORTH SYDNEY,nonresidential,3174,3189,561253
2015Q2,PARRAMATTA,multi dwelling,28715,28730,1402131.5
2015Q2,PARRAMATTA,single dwelling,33096,33111,1858436.8
2015Q2,PARRAMATTA,nonresidential,4902,4917,2045435.7
2015Q2,PENRITH,multi dwelling,11823,11838,468559.3
2015Q2,PENRITH,single dwelling,50544,50559,2934086.1
2015Q2,PENRITH,nonresidential,4091,4106,948843.5
2015Q2,PITTWATER,multi dwelling,5326,5341,185354.4
2015Q2,PITTWATER,single dwelling,16754,16769,950552.9
2015Q2,PITTWATER,nonresidential,1910,1925,218939.6
2015Q2,RANDWICK,multi dwelling,34032,34047,1461518.3
2015Q2,RANDWICK,single dwelling,19821,19836,1187469.8
